date,precipIntensity,precipIntensityMax,precipProbability,precipAccumulation,precipType,temperatureHigh,temperatureLow,dewPoint,humidity,pressure,windSpeed,windBearing,cloudCover,uvIndex,visibility,ozone,sunriseTime,sunsetTime
2017-10-23 00:00:00,0,0,0,,,82.32,58.46,27.73,0.24,1026,6.93,359,0,5,9.997,,,
2017-10-24 00:00:00,0,0,0,,,79.97,48.35,27.92,0.23,1025.6,8.55,21,0.01,5,9.997,,,
2017-10-25 00:00:00,0,0,0,,,81.77,50.13,20.77,0.2,1017.8,3.73,59,0,5,9.997,,,
2017-10-26 00:00:00,0,0,0,,,80.01,54.62,20.98,0.19,1014.2,6.05,19,0,4,9.997,,,
2017-10-27 00:00:00,0,0,0,,,77.67,54.92,26.98,0.25,1016.2,7.39,16,0,4,9.997,,,
2017-10-28 00:00:00,0,0,0,,,79.29,50.66,27.94,0.24,1014.8,6.9,19,0,4,9.997,,,
2017-10-29 00:00:00,0,0,0,,,79.56,54.06,29.51,0.29,1012.8,3.61,49,0,4,9.997,,,
2017-10-30 00:00:00,0,0,0,,,76.21,52.64,29.44,0.28,1007.9,3.61,64,0,4,9.997,,,
2017-10-31 00:00:00,0,0,0,,,76.12,50.34,31.95,0.31,1009.7,4.81,218,0,4,9.997,,,
2017-11-01 00:00:00,0,0,0,,,72.31,53.45,40.02,0.48,1011.1,4.6,201,0,4,9.997,,,
2017-11-02 00:00:00,0,0,0,,,72.16,56.54,42.65,0.51,1013.3,3.67,186,0.36,4,9.997,,,
2017-11-03 00:00:00,0,0,0,,,69.64,55.1,41.29,0.48,1013.9,5.3,199,0.51,4,9.997,,,
2017-11-04 00:00:00,0,0,0,,,70.47,52.35,38.63,0.41,1011.2,4.97,196,0.29,4,9.997,,,
2017-11-05 00:00:00,0,0,0,,,68.37,52.92,36.03,0.41,1012.2,5.02,198,0.41,4,9.997,,,
2017-11-06 00:00:00,0,0,0,,,66.72,47.44,36,0.44,1014.9,3.56,195,0.14,4,9.997,,,
2017-11-07 00:00:00,0,0,0,,,67.02,38.12,28.14,0.36,1019,7.6,12,0.28,4,9.997,,,
2017-11-08 00:00:00,0,0,0,,,67.75,44.75,18,0.28,1021.1,4.14,25,0,4,9.997,,,
2017-11-09 00:00:00,0,0,0,,,73.35,47.09,23.53,0.27,1016.5,3.11,126,0,4,9.997,,,
2017-11-10 00:00:00,0,0,0,,,72.84,41.8,27.8,0.32,1013.5,2.99,121,0,4,9.997,,,
2017-11-11 00:00:00,0,0,0,,,71.34,45.38,25.48,0.32,1016.4,3.31,37,0,3,9.997,,,
2017-11-12 00:00:00,0,0,0,,,65.22,46.02,20.32,0.26,1019.9,2.78,53,0,3,9.997,,,
2017-11-13 00:00:00,0,0,0,,,71.55,46.51,19.02,0.23,1020.8,2.42,56,0,3,9.997,,,
2017-11-14 00:00:00,0,0,0,,,68.47,44.9,17.87,0.24,1019,2.55,73,0,3,9.997,,,
2017-11-15 00:00:00,0,0,0,,,67.82,49.48,21.73,0.29,1017.4,3.08,81,0,3,9.997,,,
2017-11-16 00:00:00,0,0,0,,,67.26,62.84,27.83,0.3,1014.2,3.85,111,0.1,3,9.997,,,
2017-11-17 00:00:00,0,0,0,,,69.27,38,35.34,0.37,1011.3,9.91,231,0.55,2,9.997,,,
2017-11-18 00:00:00,0,0,0,,,59.48,32.73,14.25,0.27,1026.5,7,32,0,3,9.997,,,
2017-11-19 00:00:00,0,0,0,,,64.55,38.69,10.03,0.25,1023.3,3.1,51,0,3,9.997,,,
2017-11-20 00:00:00,0,0,0,,,63.33,43.65,9.28,0.19,1020.1,2.48,135,0,3,9.997,,,
2017-11-21 00:00:00,0,0,0,,,66.46,46.93,15.32,0.22,1024.6,2.94,76,0,3,9.997,,,
2017-11-22 00:00:00,0,0,0,,,74.91,50.53,32.38,0.37,1025.9,3.13,53,0,3,9.997,,,
2017-11-23 00:00:00,0,0,0,,,69.71,45.4,33.01,0.39,1022.2,2.66,51,0,3,9.997,,,
2017-11-24 00:00:00,0,0,0,,,71.16,46.14,29.65,0.35,1016.4,3.06,60,0,3,9.997,,,
2017-11-25 00:00:00,0,0,0,,,74.26,48.78,24.71,0.27,1021,3.14,42,0,3,9.997,,,
2017-11-26 00:00:00,0,0,0,,,75.64,54.81,24.44,0.25,1019.4,2.97,75,0,3,9.997,,,
2017-11-27 00:00:00,0,0,0,,,72.95,43.7,26.29,0.29,1008.4,7.65,275,0.18,3,9.826,,,
2017-11-28 00:00:00,0,0,0,,,61.79,42.37,24.8,0.37,1018.9,5.55,19,0,3,9.997,,,
2017-11-29 00:00:00,0,0,0,,,66.93,40.87,25.66,0.36,1021.3,4.81,32,0.02,3,9.997,,,
2017-11-30 00:00:00,0,0,0,,,65.63,40.56,23.92,0.36,1021.6,3.56,55,0.01,3,9.997,,,
2017-12-01 00:00:00,0,0,0,,,66.86,45.95,25.24,0.35,1018.5,2.61,125,0,3,9.997,,,
2017-12-02 00:00:00,0,0,0,,,68.05,53.27,28.48,0.36,1017.6,2.91,117,0,3,9.997,,,
2017-12-03 00:00:00,0,0,0,,,68.32,35.08,24.2,0.29,1011.2,6.42,359,0.01,3,9.997,,,
2017-12-04 00:00:00,0,0,0,,,48.65,32.47,8.64,0.26,1021.2,10.78,15,0,3,9.997,,,
2017-12-05 00:00:00,0,0,0,,,50.84,29.29,9.44,0.28,1028.4,9.28,19,0,3,9.997,,,
2017-12-06 00:00:00,0,0,0,,,52.11,33.2,11.33,0.3,1030.6,7.22,10,0,3,9.997,,,
2017-12-07 00:00:00,0,0,0,,,54.69,36.58,8.21,0.25,1033.3,9.59,15,0.01,3,9.997,,,
2017-12-08 00:00:00,0,0,0,,,59.43,32.26,8.9,0.21,1032.9,6.36,353,0.01,2,9.997,,,
2017-12-09 00:00:00,0,0,0,,,59.24,31.98,9.42,0.24,1032.7,4.1,52,0,2,9.997,,,
2017-12-10 00:00:00,0,0,0,,,59.59,31.88,7.09,0.22,1032.9,4.89,57,0,2,9.771,,,
2017-12-11 00:00:00,0,0,0,,,58.18,32.74,3.22,0.18,1031.9,4.08,45,0,2,9.997,,,
2017-12-12 00:00:00,0,0,0,,,60.52,36.07,3.25,0.17,1029.7,3.69,65,0,2,9.997,,,
2017-12-13 00:00:00,0,0,0,,,62.22,41.71,6.77,0.19,1021.2,3.62,61,0,2,9.997,,,
2017-12-14 00:00:00,0,0,0,,,57.33,32.03,18.44,0.3,1023.7,10.74,3,0,2,9.997,,,
2017-12-15 00:00:00,0,0,0,,,57.61,35.33,13.23,0.31,1023.9,3.35,63,0.02,2,9.997,,,
2017-12-16 00:00:00,0,0,0,,,52.81,37.72,10.7,0.27,1010.8,4.09,8,0.11,2,9.997,,,
2017-12-17 00:00:00,0,0,0,,,49.04,31.67,20.77,0.42,1018.4,10.51,355,0.01,2,9.997,,,
2017-12-18 00:00:00,0,0,0,,,53.34,33.01,17.89,0.41,1024.3,3.97,66,0,2,9.997,,,
2017-12-19 00:00:00,0,0,0,,,56.61,34.84,17.68,0.37,1023.5,2.98,83,0,2,9.997,,,
2017-12-20 00:00:00,0,0.0006,0.11,,,61.21,30.7,18.51,0.35,1015.2,4.92,201,0.18,2,9.296,,,
2017-12-21 00:00:00,0,0.0019,0.17,,,41.82,26.41,18.25,0.52,1017.9,7.67,349,0.42,2,9.647,,,
