date,value
2019-10-01 00:00:00,
2019-10-01 00:15:00,
2019-10-01 00:30:00,
2019-10-01 00:45:00,
2019-10-01 01:00:00,
2019-10-01 01:15:00,
2019-10-01 01:30:00,
2019-10-01 01:45:00,
2019-10-01 02:00:00,
2019-10-01 02:15:00,
2019-10-01 02:30:00,
2019-10-01 02:45:00,
2019-10-01 03:00:00,
2019-10-01 03:15:00,
2019-10-01 03:30:00,
2019-10-01 03:45:00,
2019-10-01 04:00:00,
2019-10-01 04:15:00,
2019-10-01 04:30:00,
2019-10-01 04:45:00,
2019-10-01 05:00:00,
2019-10-01 05:15:00,
2019-10-01 05:30:00,
2019-10-01 05:45:00,
2019-10-01 06:00:00,
2019-10-01 06:15:00,
2019-10-01 06:30:00,
2019-10-01 06:45:00,
2019-10-01 07:00:00,0.0
2019-10-01 07:15:00,0.0
2019-10-01 07:30:00,42.0
2019-10-01 07:45:00,104.0
2019-10-01 08:00:00,592.0
2019-10-01 08:15:00,1244.0
2019-10-01 08:30:00,1752.0
2019-10-01 08:45:00,2253.0
2019-10-01 09:00:00,2731.0
2019-10-01 09:15:00,3175.0
2019-10-01 09:30:00,3600.0
2019-10-01 09:45:00,3993.0
2019-10-01 10:00:00,4360.0
2019-10-01 10:15:00,4738.0
2019-10-01 10:30:00,5153.0
2019-10-01 10:45:00,5563.0
2019-10-01 11:00:00,5926.0
2019-10-01 11:15:00,6254.0
2019-10-01 11:30:00,6531.0
2019-10-01 11:45:00,6783.0
2019-10-01 12:00:00,6964.0
2019-10-01 12:15:00,7061.0
2019-10-01 12:30:00,7103.0
2019-10-01 12:45:00,7124.0
2019-10-01 13:00:00,7120.0
2019-10-01 13:15:00,7120.0
2019-10-01 13:30:00,7109.0
2019-10-01 13:45:00,7066.0
2019-10-01 14:00:00,7022.0
2019-10-01 14:15:00,6951.0
2019-10-01 14:30:00,6810.0
2019-10-01 14:45:00,6597.0
2019-10-01 15:00:00,6323.0
2019-10-01 15:15:00,6042.0
2019-10-01 15:30:00,5742.0
2019-10-01 15:45:00,5418.0
2019-10-01 16:00:00,5002.0
2019-10-01 16:15:00,4598.0
2019-10-01 16:30:00,4195.0
2019-10-01 16:45:00,3782.0
2019-10-01 17:00:00,3354.0
2019-10-01 17:15:00,2890.0
2019-10-01 17:30:00,2409.0
2019-10-01 17:45:00,1868.0
2019-10-01 18:00:00,1358.0
2019-10-01 18:15:00,895.0
2019-10-01 18:30:00,261.0
2019-10-01 18:45:00,91.0
2019-10-01 19:00:00,16.0
2019-10-01 19:15:00,0.0
2019-10-01 19:30:00,
2019-10-01 19:45:00,
2019-10-01 20:00:00,
2019-10-01 20:15:00,
2019-10-01 20:30:00,
2019-10-01 20:45:00,
2019-10-01 21:00:00,
2019-10-01 21:15:00,0.0
2019-10-01 21:30:00,
2019-10-01 21:45:00,
2019-10-01 22:00:00,
2019-10-01 22:15:00,
2019-10-01 22:30:00,
2019-10-01 22:45:00,
2019-10-01 23:00:00,
2019-10-01 23:15:00,
2019-10-01 23:30:00,
2019-10-01 23:45:00,
2019-10-02 00:00:00,
2019-10-02 00:15:00,
2019-10-02 00:30:00,
2019-10-02 00:45:00,
2019-10-02 01:00:00,
2019-10-02 01:15:00,
2019-10-02 01:30:00,
2019-10-02 01:45:00,
2019-10-02 02:00:00,
2019-10-02 02:15:00,
2019-10-02 02:30:00,
2019-10-02 02:45:00,
2019-10-02 03:00:00,
2019-10-02 03:15:00,
2019-10-02 03:30:00,
2019-10-02 03:45:00,
2019-10-02 04:00:00,
2019-10-02 04:15:00,
2019-10-02 04:30:00,
2019-10-02 04:45:00,
2019-10-02 05:00:00,
2019-10-02 05:15:00,
2019-10-02 05:30:00,
2019-10-02 05:45:00,
2019-10-02 06:00:00,
2019-10-02 06:15:00,
2019-10-02 06:30:00,
2019-10-02 06:45:00,
2019-10-02 07:00:00,0.0
2019-10-02 07:15:00,0.0
2019-10-02 07:30:00,42.0
2019-10-02 07:45:00,113.0
2019-10-02 08:00:00,597.0
2019-10-02 08:15:00,1218.0
2019-10-02 08:30:00,1736.0
2019-10-02 08:45:00,2247.0
2019-10-02 09:00:00,2740.0
2019-10-02 09:15:00,3198.0
2019-10-02 09:30:00,3624.0
2019-10-02 09:45:00,4018.0
2019-10-02 10:00:00,4349.0
2019-10-02 10:15:00,4728.0
2019-10-02 10:30:00,5104.0
2019-10-02 10:45:00,5477.0
2019-10-02 11:00:00,5781.0
2019-10-02 11:15:00,6067.0
2019-10-02 11:30:00,6319.0
2019-10-02 11:45:00,6567.0
2019-10-02 12:00:00,6693.0
2019-10-02 12:15:00,6867.0
2019-10-02 12:30:00,6922.0
2019-10-02 12:45:00,6936.0
2019-10-02 13:00:00,6982.0
2019-10-02 13:15:00,6977.0
2019-10-02 13:30:00,6968.0
2019-10-02 13:45:00,6919.0
2019-10-02 14:00:00,6905.0
2019-10-02 14:15:00,6831.0
2019-10-02 14:30:00,6703.0
2019-10-02 14:45:00,6530.0
2019-10-02 15:00:00,6288.0
2019-10-02 15:15:00,5989.0
2019-10-02 15:30:00,5676.0
2019-10-02 15:45:00,5320.0
2019-10-02 16:00:00,4914.0
2019-10-02 16:15:00,4520.0
2019-10-02 16:30:00,4126.0
2019-10-02 16:45:00,3738.0
2019-10-02 17:00:00,3328.0
2019-10-02 17:15:00,2882.0
2019-10-02 17:30:00,2396.0
2019-10-02 17:45:00,1869.0
2019-10-02 18:00:00,1373.0
2019-10-02 18:15:00,907.0
2019-10-02 18:30:00,229.0
2019-10-02 18:45:00,83.0
2019-10-02 19:00:00,13.0
2019-10-02 19:15:00,0.0
2019-10-02 19:30:00,
2019-10-02 19:45:00,
2019-10-02 20:00:00,
2019-10-02 20:15:00,
2019-10-02 20:30:00,
2019-10-02 20:45:00,
2019-10-02 21:00:00,0.0
2019-10-02 21:15:00,0.0
2019-10-02 21:30:00,
2019-10-02 21:45:00,
2019-10-02 22:00:00,
2019-10-02 22:15:00,
2019-10-02 22:30:00,
2019-10-02 22:45:00,
2019-10-02 23:00:00,
2019-10-02 23:15:00,
2019-10-02 23:30:00,
2019-10-02 23:45:00,
2019-10-03 00:00:00,
2019-10-03 00:15:00,
2019-10-03 00:30:00,
2019-10-03 00:45:00,
2019-10-03 01:00:00,
2019-10-03 01:15:00,
2019-10-03 01:30:00,
2019-10-03 01:45:00,
2019-10-03 02:00:00,
2019-10-03 02:15:00,
2019-10-03 02:30:00,
2019-10-03 02:45:00,
2019-10-03 03:00:00,
2019-10-03 03:15:00,
2019-10-03 03:30:00,
2019-10-03 03:45:00,
2019-10-03 04:00:00,
2019-10-03 04:15:00,
2019-10-03 04:30:00,
2019-10-03 04:45:00,
2019-10-03 05:00:00,
2019-10-03 05:15:00,
2019-10-03 05:30:00,
2019-10-03 05:45:00,
2019-10-03 06:00:00,
2019-10-03 06:15:00,
2019-10-03 06:30:00,
2019-10-03 06:45:00,
2019-10-03 07:00:00,
2019-10-03 07:15:00,0.0
2019-10-03 07:30:00,40.0
2019-10-03 07:45:00,127.0
2019-10-03 08:00:00,583.0
2019-10-03 08:15:00,1140.0
2019-10-03 08:30:00,1599.0
2019-10-03 08:45:00,2045.0
2019-10-03 09:00:00,2563.0
2019-10-03 09:15:00,3036.0
2019-10-03 09:30:00,3457.0
2019-10-03 09:45:00,3833.0
2019-10-03 10:00:00,4192.0
2019-10-03 10:15:00,4598.0
2019-10-03 10:30:00,4977.0
2019-10-03 10:45:00,5269.0
2019-10-03 11:00:00,5583.0
2019-10-03 11:15:00,5909.0
2019-10-03 11:30:00,6206.0
2019-10-03 11:45:00,6493.0
2019-10-03 12:00:00,6739.0
2019-10-03 12:15:00,6866.0
2019-10-03 12:30:00,6993.0
2019-10-03 12:45:00,6987.0
2019-10-03 13:00:00,7004.0
2019-10-03 13:15:00,6982.0
2019-10-03 13:30:00,6977.0
2019-10-03 13:45:00,6952.0
2019-10-03 14:00:00,6848.0
2019-10-03 14:15:00,6683.0
2019-10-03 14:30:00,6496.0
2019-10-03 14:45:00,6343.0
2019-10-03 15:00:00,6141.0
2019-10-03 15:15:00,5875.0
2019-10-03 15:30:00,5575.0
2019-10-03 15:45:00,5245.0
2019-10-03 16:00:00,4856.0
2019-10-03 16:15:00,4446.0
2019-10-03 16:30:00,4052.0
2019-10-03 16:45:00,3647.0
2019-10-03 17:00:00,3229.0
2019-10-03 17:15:00,2779.0
2019-10-03 17:30:00,2292.0
2019-10-03 17:45:00,1775.0
2019-10-03 18:00:00,1294.0
2019-10-03 18:15:00,835.0
2019-10-03 18:30:00,179.0
2019-10-03 18:45:00,68.0
2019-10-03 19:00:00,8.0
2019-10-03 19:15:00,0.0
2019-10-03 19:30:00,
2019-10-03 19:45:00,
2019-10-03 20:00:00,
2019-10-03 20:15:00,
2019-10-03 20:30:00,
2019-10-03 20:45:00,
2019-10-03 21:00:00,
2019-10-03 21:15:00,0.0
2019-10-03 21:30:00,
2019-10-03 21:45:00,
2019-10-03 22:00:00,
2019-10-03 22:15:00,
2019-10-03 22:30:00,
2019-10-03 22:45:00,
2019-10-03 23:00:00,
2019-10-03 23:15:00,
2019-10-03 23:30:00,
2019-10-03 23:45:00,
2019-10-04 00:00:00,
2019-10-04 00:15:00,
2019-10-04 00:30:00,
2019-10-04 00:45:00,
2019-10-04 01:00:00,
2019-10-04 01:15:00,
2019-10-04 01:30:00,
2019-10-04 01:45:00,
2019-10-04 02:00:00,
2019-10-04 02:15:00,
2019-10-04 02:30:00,
2019-10-04 02:45:00,
2019-10-04 03:00:00,
2019-10-04 03:15:00,
2019-10-04 03:30:00,
2019-10-04 03:45:00,
2019-10-04 04:00:00,
2019-10-04 04:15:00,
2019-10-04 04:30:00,
2019-10-04 04:45:00,
2019-10-04 05:00:00,
2019-10-04 05:15:00,
2019-10-04 05:30:00,
2019-10-04 05:45:00,
2019-10-04 06:00:00,
2019-10-04 06:15:00,
2019-10-04 06:30:00,
2019-10-04 06:45:00,
2019-10-04 07:00:00,
2019-10-04 07:15:00,0.0
2019-10-04 07:30:00,31.0
2019-10-04 07:45:00,96.0
2019-10-04 08:00:00,568.0
2019-10-04 08:15:00,1134.0
2019-10-04 08:30:00,1618.0
2019-10-04 08:45:00,2106.0
2019-10-04 09:00:00,2577.0
2019-10-04 09:15:00,3021.0
2019-10-04 09:30:00,3433.0
2019-10-04 09:45:00,3821.0
2019-10-04 10:00:00,4233.0
2019-10-04 10:15:00,4662.0
2019-10-04 10:30:00,5050.0
2019-10-04 10:45:00,5384.0
2019-10-04 11:00:00,5732.0
2019-10-04 11:15:00,6005.0
2019-10-04 11:30:00,6261.0
2019-10-04 11:45:00,6490.0
2019-10-04 12:00:00,6687.0
2019-10-04 12:15:00,6805.0
2019-10-04 12:30:00,6947.0
2019-10-04 12:45:00,6986.0
2019-10-04 13:00:00,6992.0
2019-10-04 13:15:00,6973.0
2019-10-04 13:30:00,6965.0
2019-10-04 13:45:00,6900.0
2019-10-04 14:00:00,6601.0
2019-10-04 14:15:00,6691.0
2019-10-04 14:30:00,6665.0
2019-10-04 14:45:00,5979.0
2019-10-04 15:00:00,4987.0
2019-10-04 15:15:00,6009.0
2019-10-04 15:30:00,5589.0
2019-10-04 15:45:00,5244.0
2019-10-04 16:00:00,4864.0
2019-10-04 16:15:00,4456.0
2019-10-04 16:30:00,4070.0
2019-10-04 16:45:00,3626.0
2019-10-04 17:00:00,3168.0
2019-10-04 17:15:00,2710.0
2019-10-04 17:30:00,2222.0
2019-10-04 17:45:00,1724.0
2019-10-04 18:00:00,1251.0
2019-10-04 18:15:00,792.0
2019-10-04 18:30:00,177.0
2019-10-04 18:45:00,76.0
2019-10-04 19:00:00,6.0
2019-10-04 19:15:00,0.0
2019-10-04 19:30:00,
2019-10-04 19:45:00,
2019-10-04 20:00:00,
2019-10-04 20:15:00,
2019-10-04 20:30:00,
2019-10-04 20:45:00,
2019-10-04 21:00:00,
2019-10-04 21:15:00,0.0
2019-10-04 21:30:00,
2019-10-04 21:45:00,
2019-10-04 22:00:00,
2019-10-04 22:15:00,
2019-10-04 22:30:00,
2019-10-04 22:45:00,
2019-10-04 23:00:00,
2019-10-04 23:15:00,
2019-10-04 23:30:00,
2019-10-04 23:45:00,
2019-10-05 00:00:00,
2019-10-05 00:15:00,
2019-10-05 00:30:00,
2019-10-05 00:45:00,
2019-10-05 01:00:00,
2019-10-05 01:15:00,
2019-10-05 01:30:00,
2019-10-05 01:45:00,
2019-10-05 02:00:00,
2019-10-05 02:15:00,
2019-10-05 02:30:00,
2019-10-05 02:45:00,
2019-10-05 03:00:00,
2019-10-05 03:15:00,
2019-10-05 03:30:00,
2019-10-05 03:45:00,
2019-10-05 04:00:00,
2019-10-05 04:15:00,
2019-10-05 04:30:00,
2019-10-05 04:45:00,
2019-10-05 05:00:00,
2019-10-05 05:15:00,
2019-10-05 05:30:00,
2019-10-05 05:45:00,
2019-10-05 06:00:00,
2019-10-05 06:15:00,
2019-10-05 06:30:00,
2019-10-05 06:45:00,
2019-10-05 07:00:00,0.0
2019-10-05 07:15:00,0.0
2019-10-05 07:30:00,27.0
2019-10-05 07:45:00,104.0
2019-10-05 08:00:00,570.0
2019-10-05 08:15:00,1138.0
2019-10-05 08:30:00,1641.0
2019-10-05 08:45:00,2147.0
2019-10-05 09:00:00,2642.0
2019-10-05 09:15:00,3119.0
2019-10-05 09:30:00,3574.0
2019-10-05 09:45:00,3971.0
2019-10-05 10:00:00,4340.0
2019-10-05 10:15:00,4718.0
2019-10-05 10:30:00,5102.0
2019-10-05 10:45:00,5436.0
2019-10-05 11:00:00,5692.0
2019-10-05 11:15:00,5871.0
2019-10-05 11:30:00,6074.0
2019-10-05 11:45:00,6374.0
2019-10-05 12:00:00,6512.0
2019-10-05 12:15:00,6622.0
2019-10-05 12:30:00,6745.0
2019-10-05 12:45:00,6761.0
2019-10-05 13:00:00,6774.0
2019-10-05 13:15:00,6756.0
2019-10-05 13:30:00,6745.0
2019-10-05 13:45:00,6750.0
2019-10-05 14:00:00,6737.0
2019-10-05 14:15:00,6632.0
2019-10-05 14:30:00,6478.0
2019-10-05 14:45:00,6309.0
2019-10-05 15:00:00,6059.0
2019-10-05 15:15:00,5747.0
2019-10-05 15:30:00,5450.0
2019-10-05 15:45:00,5098.0
2019-10-05 16:00:00,4708.0
2019-10-05 16:15:00,4302.0
2019-10-05 16:30:00,3963.0
2019-10-05 16:45:00,3579.0
2019-10-05 17:00:00,3159.0
2019-10-05 17:15:00,2709.0
2019-10-05 17:30:00,2221.0
2019-10-05 17:45:00,1702.0
2019-10-05 18:00:00,1213.0
2019-10-05 18:15:00,759.0
2019-10-05 18:30:00,139.0
2019-10-05 18:45:00,62.0
2019-10-05 19:00:00,3.0
2019-10-05 19:15:00,0.0
2019-10-05 19:30:00,
2019-10-05 19:45:00,
2019-10-05 20:00:00,
2019-10-05 20:15:00,
2019-10-05 20:30:00,
2019-10-05 20:45:00,
2019-10-05 21:00:00,0.0
2019-10-05 21:15:00,0.0
2019-10-05 21:30:00,
2019-10-05 21:45:00,
2019-10-05 22:00:00,
2019-10-05 22:15:00,
2019-10-05 22:30:00,
2019-10-05 22:45:00,
2019-10-05 23:00:00,
2019-10-05 23:15:00,
2019-10-05 23:30:00,
2019-10-05 23:45:00,
2019-10-06 00:00:00,
2019-10-06 00:15:00,
2019-10-06 00:30:00,
2019-10-06 00:45:00,
2019-10-06 01:00:00,
2019-10-06 01:15:00,
2019-10-06 01:30:00,
2019-10-06 01:45:00,
2019-10-06 02:00:00,
2019-10-06 02:15:00,
2019-10-06 02:30:00,
2019-10-06 02:45:00,
2019-10-06 03:00:00,
2019-10-06 03:15:00,
2019-10-06 03:30:00,
2019-10-06 03:45:00,
2019-10-06 04:00:00,
2019-10-06 04:15:00,
2019-10-06 04:30:00,
2019-10-06 04:45:00,
2019-10-06 05:00:00,
2019-10-06 05:15:00,
2019-10-06 05:30:00,
2019-10-06 05:45:00,
2019-10-06 06:00:00,
2019-10-06 06:15:00,
2019-10-06 06:30:00,
2019-10-06 06:45:00,
2019-10-06 07:00:00,0.0
2019-10-06 07:15:00,0.0
2019-10-06 07:30:00,19.0
2019-10-06 07:45:00,85.0
2019-10-06 08:00:00,539.0
2019-10-06 08:15:00,1122.0
2019-10-06 08:30:00,1624.0
2019-10-06 08:45:00,2127.0
2019-10-06 09:00:00,2626.0
2019-10-06 09:15:00,3100.0
2019-10-06 09:30:00,3528.0
2019-10-06 09:45:00,3926.0
2019-10-06 10:00:00,4289.0
2019-10-06 10:15:00,4699.0
2019-10-06 10:30:00,5071.0
2019-10-06 10:45:00,5437.0
2019-10-06 11:00:00,5731.0
2019-10-06 11:15:00,6018.0
2019-10-06 11:30:00,6265.0
2019-10-06 11:45:00,6473.0
2019-10-06 12:00:00,6671.0
2019-10-06 12:15:00,6778.0
2019-10-06 12:30:00,6838.0
2019-10-06 12:45:00,6876.0
2019-10-06 13:00:00,6820.0
2019-10-06 13:15:00,6760.0
2019-10-06 13:30:00,6759.0
2019-10-06 13:45:00,6687.0
2019-10-06 14:00:00,6771.0
2019-10-06 14:15:00,6656.0
2019-10-06 14:30:00,6476.0
2019-10-06 14:45:00,6254.0
2019-10-06 15:00:00,6050.0
2019-10-06 15:15:00,5755.0
2019-10-06 15:30:00,5441.0
2019-10-06 15:45:00,5071.0
2019-10-06 16:00:00,4732.0
2019-10-06 16:15:00,4330.0
2019-10-06 16:30:00,3957.0
2019-10-06 16:45:00,3570.0
2019-10-06 17:00:00,3176.0
2019-10-06 17:15:00,2730.0
2019-10-06 17:30:00,2249.0
2019-10-06 17:45:00,1722.0
2019-10-06 18:00:00,1231.0
2019-10-06 18:15:00,748.0
2019-10-06 18:30:00,116.0
2019-10-06 18:45:00,53.0
2019-10-06 19:00:00,0.0
2019-10-06 19:15:00,0.0
2019-10-06 19:30:00,
2019-10-06 19:45:00,
2019-10-06 20:00:00,
2019-10-06 20:15:00,
2019-10-06 20:30:00,
2019-10-06 20:45:00,
2019-10-06 21:00:00,0.0
2019-10-06 21:15:00,
2019-10-06 21:30:00,
2019-10-06 21:45:00,
2019-10-06 22:00:00,
2019-10-06 22:15:00,
2019-10-06 22:30:00,
2019-10-06 22:45:00,
2019-10-06 23:00:00,
2019-10-06 23:15:00,
2019-10-06 23:30:00,
2019-10-06 23:45:00,
2019-10-07 00:00:00,
2019-10-07 00:15:00,
2019-10-07 00:30:00,
2019-10-07 00:45:00,
2019-10-07 01:00:00,
2019-10-07 01:15:00,
2019-10-07 01:30:00,
2019-10-07 01:45:00,
2019-10-07 02:00:00,
2019-10-07 02:15:00,
2019-10-07 02:30:00,
2019-10-07 02:45:00,
2019-10-07 03:00:00,
2019-10-07 03:15:00,
2019-10-07 03:30:00,
2019-10-07 03:45:00,
2019-10-07 04:00:00,
2019-10-07 04:15:00,
2019-10-07 04:30:00,
2019-10-07 04:45:00,
2019-10-07 05:00:00,
2019-10-07 05:15:00,
2019-10-07 05:30:00,
2019-10-07 05:45:00,
2019-10-07 06:00:00,
2019-10-07 06:15:00,
2019-10-07 06:30:00,
2019-10-07 06:45:00,
2019-10-07 07:00:00,0.0
2019-10-07 07:15:00,0.0
2019-10-07 07:30:00,14.0
2019-10-07 07:45:00,87.0
2019-10-07 08:00:00,540.0
2019-10-07 08:15:00,1145.0
2019-10-07 08:30:00,1644.0
2019-10-07 08:45:00,2144.0
2019-10-07 09:00:00,2633.0
2019-10-07 09:15:00,3101.0
2019-10-07 09:30:00,3542.0
2019-10-07 09:45:00,3941.0
2019-10-07 10:00:00,4281.0
2019-10-07 10:15:00,4629.0
2019-10-07 10:30:00,4960.0
2019-10-07 10:45:00,5324.0
2019-10-07 11:00:00,5663.0
2019-10-07 11:15:00,5973.0
2019-10-07 11:30:00,6157.0
2019-10-07 11:45:00,6329.0
2019-10-07 12:00:00,6545.0
2019-10-07 12:15:00,6626.0
2019-10-07 12:30:00,6669.0
2019-10-07 12:45:00,6661.0
2019-10-07 13:00:00,6664.0
2019-10-07 13:15:00,6709.0
2019-10-07 13:30:00,6613.0
2019-10-07 13:45:00,6542.0
2019-10-07 14:00:00,6464.0
2019-10-07 14:15:00,6318.0
2019-10-07 14:30:00,6208.0
2019-10-07 14:45:00,6058.0
2019-10-07 15:00:00,5791.0
2019-10-07 15:15:00,5551.0
2019-10-07 15:30:00,5297.0
2019-10-07 15:45:00,4962.0
2019-10-07 16:00:00,4534.0
2019-10-07 16:15:00,4137.0
2019-10-07 16:30:00,3775.0
2019-10-07 16:45:00,3378.0
2019-10-07 17:00:00,2989.0
2019-10-07 17:15:00,2557.0
2019-10-07 17:30:00,2092.0
2019-10-07 17:45:00,1594.0
2019-10-07 18:00:00,1116.0
2019-10-07 18:15:00,653.0
2019-10-07 18:30:00,120.0
2019-10-07 18:45:00,51.0
2019-10-07 19:00:00,0.0
2019-10-07 19:15:00,
2019-10-07 19:30:00,
2019-10-07 19:45:00,
2019-10-07 20:00:00,
2019-10-07 20:15:00,
2019-10-07 20:30:00,
2019-10-07 20:45:00,
2019-10-07 21:00:00,0.0
2019-10-07 21:15:00,
2019-10-07 21:30:00,
2019-10-07 21:45:00,
2019-10-07 22:00:00,
2019-10-07 22:15:00,
2019-10-07 22:30:00,
2019-10-07 22:45:00,
2019-10-07 23:00:00,
2019-10-07 23:15:00,
2019-10-07 23:30:00,
2019-10-07 23:45:00,
2019-10-08 00:00:00,
2019-10-08 00:15:00,
2019-10-08 00:30:00,
2019-10-08 00:45:00,
2019-10-08 01:00:00,
2019-10-08 01:15:00,
2019-10-08 01:30:00,
2019-10-08 01:45:00,
2019-10-08 02:00:00,
2019-10-08 02:15:00,
2019-10-08 02:30:00,
2019-10-08 02:45:00,
2019-10-08 03:00:00,
2019-10-08 03:15:00,
2019-10-08 03:30:00,
2019-10-08 03:45:00,
2019-10-08 04:00:00,
2019-10-08 04:15:00,
2019-10-08 04:30:00,
2019-10-08 04:45:00,
2019-10-08 05:00:00,
2019-10-08 05:15:00,
2019-10-08 05:30:00,
2019-10-08 05:45:00,
2019-10-08 06:00:00,
2019-10-08 06:15:00,
2019-10-08 06:30:00,
2019-10-08 06:45:00,
2019-10-08 07:00:00,0.0
2019-10-08 07:15:00,0.0
2019-10-08 07:30:00,16.0
2019-10-08 07:45:00,92.0
2019-10-08 08:00:00,474.0
2019-10-08 08:15:00,1073.0
2019-10-08 08:30:00,1563.0
2019-10-08 08:45:00,2064.0
2019-10-08 09:00:00,2558.0
2019-10-08 09:15:00,3000.0
2019-10-08 09:30:00,3414.0
2019-10-08 09:45:00,3790.0
2019-10-08 10:00:00,4129.0
2019-10-08 10:15:00,4483.0
2019-10-08 10:30:00,4856.0
2019-10-08 10:45:00,5197.0
2019-10-08 11:00:00,5484.0
2019-10-08 11:15:00,5760.0
2019-10-08 11:30:00,5997.0
2019-10-08 11:45:00,6215.0
2019-10-08 12:00:00,6359.0
2019-10-08 12:15:00,6507.0
2019-10-08 12:30:00,6615.0
2019-10-08 12:45:00,6679.0
2019-10-08 13:00:00,6763.0
2019-10-08 13:15:00,6774.0
2019-10-08 13:30:00,6725.0
2019-10-08 13:45:00,6642.0
2019-10-08 14:00:00,6604.0
2019-10-08 14:15:00,6440.0
2019-10-08 14:30:00,6331.0
2019-10-08 14:45:00,6124.0
2019-10-08 15:00:00,5893.0
2019-10-08 15:15:00,5603.0
2019-10-08 15:30:00,5293.0
2019-10-08 15:45:00,4918.0
2019-10-08 16:00:00,4578.0
2019-10-08 16:15:00,4178.0
2019-10-08 16:30:00,3807.0
2019-10-08 16:45:00,3430.0
2019-10-08 17:00:00,3024.0
2019-10-08 17:15:00,2589.0
2019-10-08 17:30:00,2107.0
2019-10-08 17:45:00,1598.0
2019-10-08 18:00:00,1112.0
2019-10-08 18:15:00,572.0
2019-10-08 18:30:00,110.0
2019-10-08 18:45:00,41.0
2019-10-08 19:00:00,0.0
2019-10-08 19:15:00,
2019-10-08 19:30:00,
2019-10-08 19:45:00,
2019-10-08 20:00:00,
2019-10-08 20:15:00,
2019-10-08 20:30:00,
2019-10-08 20:45:00,
2019-10-08 21:00:00,0.0
2019-10-08 21:15:00,
2019-10-08 21:30:00,
2019-10-08 21:45:00,
2019-10-08 22:00:00,
2019-10-08 22:15:00,
2019-10-08 22:30:00,
2019-10-08 22:45:00,
2019-10-08 23:00:00,
2019-10-08 23:15:00,
2019-10-08 23:30:00,
2019-10-08 23:45:00,
2019-10-09 00:00:00,
2019-10-09 00:15:00,
2019-10-09 00:30:00,
2019-10-09 00:45:00,
2019-10-09 01:00:00,
2019-10-09 01:15:00,
2019-10-09 01:30:00,
2019-10-09 01:45:00,
2019-10-09 02:00:00,
2019-10-09 02:15:00,
2019-10-09 02:30:00,
2019-10-09 02:45:00,
2019-10-09 03:00:00,
2019-10-09 03:15:00,
2019-10-09 03:30:00,
2019-10-09 03:45:00,
2019-10-09 04:00:00,
2019-10-09 04:15:00,
2019-10-09 04:30:00,
2019-10-09 04:45:00,
2019-10-09 05:00:00,
2019-10-09 05:15:00,
2019-10-09 05:30:00,
2019-10-09 05:45:00,
2019-10-09 06:00:00,
2019-10-09 06:15:00,
2019-10-09 06:30:00,
2019-10-09 06:45:00,
2019-10-09 07:00:00,0.0
2019-10-09 07:15:00,0.0
2019-10-09 07:30:00,12.0
2019-10-09 07:45:00,97.0
2019-10-09 08:00:00,440.0
2019-10-09 08:15:00,1018.0
2019-10-09 08:30:00,1520.0
2019-10-09 08:45:00,1970.0
2019-10-09 09:00:00,2418.0
2019-10-09 09:15:00,2849.0
2019-10-09 09:30:00,3323.0
2019-10-09 09:45:00,3702.0
2019-10-09 10:00:00,4062.0
2019-10-09 10:15:00,4465.0
2019-10-09 10:30:00,4896.0
2019-10-09 10:45:00,5305.0
2019-10-09 11:00:00,5647.0
2019-10-09 11:15:00,5919.0
2019-10-09 11:30:00,6169.0
2019-10-09 11:45:00,6399.0
2019-10-09 12:00:00,6550.0
2019-10-09 12:15:00,6609.0
2019-10-09 12:30:00,6677.0
2019-10-09 12:45:00,6809.0
2019-10-09 13:00:00,6809.0
2019-10-09 13:15:00,6781.0
2019-10-09 13:30:00,6737.0
2019-10-09 13:45:00,6712.0
2019-10-09 14:00:00,6614.0
2019-10-09 14:15:00,6497.0
2019-10-09 14:30:00,6330.0
2019-10-09 14:45:00,6085.0
2019-10-09 15:00:00,5779.0
2019-10-09 15:15:00,5479.0
2019-10-09 15:30:00,5060.0
2019-10-09 15:45:00,4829.0
2019-10-09 16:00:00,4462.0
2019-10-09 16:15:00,4051.0
2019-10-09 16:30:00,3746.0
2019-10-09 16:45:00,3245.0
2019-10-09 17:00:00,2797.0
2019-10-09 17:15:00,2414.0
2019-10-09 17:30:00,1963.0
2019-10-09 17:45:00,1444.0
2019-10-09 18:00:00,978.0
2019-10-09 18:15:00,510.0
2019-10-09 18:30:00,141.0
2019-10-09 18:45:00,37.0
2019-10-09 19:00:00,0.0
2019-10-09 19:15:00,
2019-10-09 19:30:00,
2019-10-09 19:45:00,
2019-10-09 20:00:00,
2019-10-09 20:15:00,
2019-10-09 20:30:00,
2019-10-09 20:45:00,
2019-10-09 21:00:00,0.0
2019-10-09 21:15:00,
2019-10-09 21:30:00,
2019-10-09 21:45:00,
2019-10-09 22:00:00,
2019-10-09 22:15:00,
2019-10-09 22:30:00,
2019-10-09 22:45:00,
2019-10-09 23:00:00,
2019-10-09 23:15:00,
2019-10-09 23:30:00,
2019-10-09 23:45:00,
2019-10-10 00:00:00,
2019-10-10 00:15:00,
2019-10-10 00:30:00,
2019-10-10 00:45:00,
2019-10-10 01:00:00,
2019-10-10 01:15:00,
2019-10-10 01:30:00,
2019-10-10 01:45:00,
2019-10-10 02:00:00,
2019-10-10 02:15:00,
2019-10-10 02:30:00,
2019-10-10 02:45:00,
