date,value
2019-01-01 00:00:00,0.0
2019-01-01 00:15:00,0.0
2019-01-01 00:30:00,0.0
2019-01-01 00:45:00,0.0
2019-01-01 01:00:00,0.0
2019-01-01 01:15:00,0.0
2019-01-01 01:30:00,0.0
2019-01-01 01:45:00,0.0
2019-01-01 02:00:00,0.0
2019-01-01 02:15:00,0.0
2019-01-01 02:30:00,0.0
2019-01-01 02:45:00,0.0
2019-01-01 03:00:00,0.0
2019-01-01 03:15:00,0.0
2019-01-01 03:30:00,0.0
2019-01-01 03:45:00,0.0
2019-01-01 04:00:00,0.0
2019-01-01 04:15:00,0.0
2019-01-01 04:30:00,0.0
2019-01-01 04:45:00,0.0
2019-01-01 05:00:00,0.0
2019-01-01 05:15:00,0.0
2019-01-01 05:30:00,0.0
2019-01-01 05:45:00,0.0
2019-01-01 06:00:00,0.0
2019-01-01 06:15:00,0.0
2019-01-01 06:30:00,0.0
2019-01-01 06:45:00,0.0
2019-01-01 07:00:00,0.0
2019-01-01 07:15:00,0.0
2019-01-01 07:30:00,0.0
2019-01-01 07:45:00,74.0
2019-01-01 08:00:00,895.0
2019-01-01 08:15:00,1622.0
2019-01-01 08:30:00,2292.0
2019-01-01 08:45:00,2909.0
2019-01-01 09:00:00,3470.0
2019-01-01 09:15:00,4005.0
2019-01-01 09:30:00,4503.0
2019-01-01 09:45:00,4902.0
2019-01-01 10:00:00,5270.0
2019-01-01 10:15:00,5616.0
2019-01-01 10:30:00,5948.0
2019-01-01 10:45:00,6264.0
2019-01-01 11:00:00,6472.0
2019-01-01 11:15:00,6627.0
2019-01-01 11:30:00,6734.0
2019-01-01 11:45:00,6827.0
2019-01-01 12:00:00,6846.0
2019-01-01 12:15:00,6877.0
2019-01-01 12:30:00,6863.0
2019-01-01 12:45:00,6845.0
2019-01-01 13:00:00,6831.0
2019-01-01 13:15:00,6789.0
2019-01-01 13:30:00,6726.0
2019-01-01 13:45:00,6575.0
2019-01-01 14:00:00,6311.0
2019-01-01 14:15:00,5994.0
2019-01-01 14:30:00,5677.0
2019-01-01 14:45:00,5329.0
2019-01-01 15:00:00,4913.0
2019-01-01 15:15:00,4497.0
2019-01-01 15:30:00,4048.0
2019-01-01 15:45:00,3567.0
2019-01-01 16:00:00,3045.0
2019-01-01 16:15:00,2474.0
2019-01-01 16:30:00,1862.0
2019-01-01 16:45:00,1264.0
2019-01-01 17:00:00,659.0
2019-01-01 17:15:00,103.0
2019-01-01 17:30:00,0.0
2019-01-01 17:45:00,0.0
2019-01-01 18:00:00,0.0
2019-01-01 18:15:00,0.0
2019-01-01 18:30:00,0.0
2019-01-01 18:45:00,0.0
2019-01-01 19:00:00,0.0
2019-01-01 19:15:00,0.0
2019-01-01 19:30:00,0.0
2019-01-01 19:45:00,0.0
2019-01-01 20:00:00,0.0
2019-01-01 20:15:00,0.0
2019-01-01 20:30:00,0.0
2019-01-01 20:45:00,0.0
