date,precipIntensity,precipIntensityMax,precipProbability,precipAccumulation,precipType,temperatureHigh,temperatureLow,dewPoint,humidity,pressure,windSpeed,windBearing,cloudCover,uvIndex,visibility,ozone,sunriseTime,sunsetTime
2018-02-08 00:00:00,0,0,0,,,66.32,28.4,16.39,0.33,,2.15,23,0,4,9.997,,,
2018-02-09 00:00:00,0,0,0,,,67.03,29.68,17.06,0.34,,3.54,254,0,4,9.997,,,
2018-02-10 00:00:00,0,0,0,,,61.6,19.57,16.09,0.38,,5.44,322,0.11,4,9.819,,,
2018-02-11 00:00:00,0,0,0,,,50.89,32.65,1.62,0.27,,4.2,38,0,4,9.951,,,
2018-02-12 00:00:00,0.0065,0.0428,0.98,,rain,44.73,31.83,22.15,0.61,,3.27,218,0.7,3,7.755,,,
2018-02-13 00:00:00,0.0053,0.0544,0.98,,rain,45.8,33.88,33.58,0.85,,2.16,351,0.91,3,9.125,,,
2018-02-14 00:00:00,0.0065,0.0403,0.99,,rain,49.69,34.46,35.4,0.81,,3.51,251,0.87,2,9.511,,,
2018-02-15 00:00:00,0.0033,0.0195,0.98,,rain,48.36,23.48,28.4,0.68,,4.09,285,0.65,3,9.606,,,
2018-02-16 00:00:00,0,0,0,,,47.91,22.35,14.92,0.46,,3.38,351,0,5,9.997,,,
2018-02-17 00:00:00,0,0,0,,,57.61,24.78,20.45,0.54,,2.43,254,0,5,9.904,,,
2018-02-18 00:00:00,0,0,0,,,57.17,35.67,22.86,0.52,,5.86,230,0.09,4,9.997,,,
2018-02-19 00:00:00,0,0,0,,,40.21,15.03,16.57,0.47,,8.14,248,0.4,4,9.662,,,
2018-02-20 00:00:00,0,0,0,,,34.86,17.57,3.84,0.44,,2.95,273,0.23,4,9.997,,,
2018-02-21 00:00:00,0,0,0,,,37.37,12.61,5.21,0.4,,3.76,329,0.36,5,9.997,,,
2018-02-22 00:00:00,0,0,0,,,38.32,14.68,11.39,0.55,,3.95,227,0.39,5,9.893,,,
2018-02-23 00:00:00,0.0017,0.0311,0.99,0.41,snow,33.67,7.72,19.92,0.78,,2.76,210,0.46,4,9.193,,,
2018-02-24 00:00:00,0,0,0,,,36.64,17.85,9.27,0.55,,3.79,233,0.17,5,9.997,,,
2018-02-25 00:00:00,0,0,0,,,43.35,18.28,10.38,0.49,,2.55,213,0.13,6,9.997,,,
2018-02-26 00:00:00,0,0,0,,,51.74,20.84,10.17,0.41,,4.18,220,0,6,9.997,,,
2018-02-27 00:00:00,0,0,0,,,50.35,19.12,11.07,0.4,,3.28,64,0.14,6,9.997,,,
2018-02-28 00:00:00,0,0,0,,,49.85,22.53,18.14,0.56,,2.87,238,0,6,9.997,,,
2018-03-01 00:00:00,0,0,0,,,51.32,24.03,17.82,0.53,,3,219,0.27,5,9.997,,,
2018-03-02 00:00:00,0,0,0,,,59.45,27.3,13.55,0.38,,5.01,217,0,6,9.997,,,
2018-03-03 00:00:00,0,0,0,,,58.73,31.02,14.98,0.33,,5.63,213,0.24,6,9.997,,,
2018-03-04 00:00:00,0.0004,0.0067,0.96,,rain,42.24,18.69,16.76,0.48,,6.72,278,0.63,5,9.858,,,
2018-03-05 00:00:00,0,0,0,,,49.67,24.55,3.88,0.34,,3.35,26,0,6,9.997,,,
2018-03-06 00:00:00,0,0,0,,,54.3,26.31,-4.1,0.17,,4.78,30,0,6,9.997,,,
2018-03-07 00:00:00,0,0,0,,,53.18,24.35,0.36,0.2,,3.87,14,0.14,6,9.997,,,
2018-03-08 00:00:00,0,0,0,,,65.02,28.6,8.85,0.25,,3.02,266,0.01,7,9.997,,,
2018-03-09 00:00:00,0,0,0,,,66.38,29.33,13.24,0.3,,3.62,259,0,7,9.997,,,
2018-03-10 00:00:00,0,0.0003,0.02,,,60.24,41.82,24.78,0.48,,3.1,227,0.23,7,9.997,,,
2018-03-11 00:00:00,0.0125,0.0546,1,,rain,55.42,35.37,39.03,0.77,,3.07,56,0.8,4,9.141,,,
2018-03-12 00:00:00,0,0,0,,,62.09,39.59,35.13,0.66,,3.46,47,0.05,7,9.997,,,
2018-03-13 00:00:00,0,0,0,,,64.78,40.02,34.15,0.55,,3.23,301,0.52,6,9.997,,,
2018-03-14 00:00:00,0,0.0002,0.03,,,64.83,38.53,34.79,0.57,,5.93,221,0.67,5,9.905,,,
2018-03-15 00:00:00,0.0086,0.0758,1,,rain,44.29,27.87,32.82,0.8,,4.55,244,0.75,5,8.834,,,
